# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   67.11711712    0.00294879
   67.19719720    0.00262514
   67.27727728    0.00259629
   67.35735736    0.00241712
   67.43743744    0.00242838
   67.51751752    0.00243983
   67.59759760    0.00256150
   67.67767768    0.00272384
   67.75775776    0.00327821
   67.83783784    0.00362855
   67.91791792    0.00366164
   67.99799800    0.00328392
   68.07807808    0.00313017
   68.15815816    0.00321320
   68.23823824    0.00300776
   68.31831832    0.00237616
   68.39839840    0.00199535
   68.47847848    0.00206036
   68.55855856    0.00192805
   68.63863864    0.00158664
   68.71871872    0.00148948
   68.79879880    0.00180713
   68.87887888    0.00263537
   68.95895896    0.00294398
   69.03903904    0.00295303
   69.11911912    0.00364173
   69.19919920    0.00404219
   69.27927928    0.00420612
   69.35935936    0.00497375
   69.43943944    0.00502885
   69.51951952    0.00409722
   69.59959960    0.00338843
   69.67967968    0.00333242
   69.75975976    0.00349346
   69.83983984    0.00350411
   69.91991992    0.00376590
   70.00000000    0.00446111
