# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   63.27327327    0.00859290
   63.35335335    0.00851216
   63.43343343    0.00760079
   63.51351351    0.00671960
   63.59359359    0.00695054
   63.67367367    0.00843703
   63.75375375    0.00988946
   63.83383383    0.01124689
   63.91391391    0.01194175
   63.99399399    0.01214102
   64.07407407    0.01176631
   64.15415415    0.01065321
   64.23423423    0.00885222
   64.31431431    0.00768598
   64.39439439    0.00665517
   64.47447447    0.00638542
   64.55455455    0.00709010
   64.63463463    0.00801754
   64.71471471    0.00778730
   64.79479479    0.00698876
   64.87487487    0.00601793
   64.95495495    0.00588551
   65.03503504    0.00613123
   65.11511512    0.00677114
   65.19519520    0.00824885
   65.27527528    0.00924555
   65.35535536    0.00826929
   65.43543544    0.00704299
   65.51551552    0.00663051
   65.59559560    0.00712859
   65.67567568    0.00739429
   65.75575576    0.00811601
   65.83583584    0.01005710
   65.91591592    0.01125814
   65.99599600    0.00940952
   66.07607608    0.00685657
   66.15615616    0.00538529
   66.23623624    0.00468120
   66.31631632    0.00418885
   66.39639640    0.00320449
   66.47647648    0.00269037
   66.55655656    0.00276364
   66.63663664    0.00309426
   66.71671672    0.00293034
   66.79679680    0.00282735
   66.87687688    0.00316680
   66.95695696    0.00342603
   67.03703704    0.00279088
   67.11711712    0.00270466
   67.19719720    0.00325864
   67.27727728    0.00370153
   67.35735736    0.00415179
   67.43743744    0.00503174
   67.51751752    0.00394196
   67.59759760    0.00267616
   67.67767768    0.00241144
   67.75775776    0.00256045
   67.83783784    0.00240067
   67.91791792    0.00245731
   67.99799800    0.00287087
   68.07807808    0.00291970
   68.15815816    0.00288556
   68.23823824    0.00301278
   68.31831832    0.00351979
   68.39839840    0.00426652
   68.47847848    0.00430174
   68.55855856    0.00389191
   68.63863864    0.00402909
   68.71871872    0.00495050
   68.79879880    0.00533174
   68.87887888    0.00569694
   68.95895896    0.00611895
   69.03903904    0.00636722
   69.11911912    0.00663379
   69.19919920    0.00646560
   69.27927928    0.00564549
   69.35935936    0.00496942
   69.43943944    0.00466362
   69.51951952    0.00478047
   69.59959960    0.00486672
   69.67967968    0.00416124
   69.75975976    0.00336436
   69.83983984    0.00293357
   69.91991992    0.00279012
   70.00000000    0.00287764
